S.No,Entry Signal,Exit Signal,Section Type,Line,TSRMS Route Id,Signal Type,Aspects of Entry Signal (Derived for Auto Signal),Requires Aspect of Exit Signal,Requires Points in Route,-,"Requires Track Circuit ""UP"" in Route",TIN's(TrackIdentificationNumber)RequiresFree,TIN'sRequiresFreeInOverlap,CheckRFIDSequence,-,DistanceBetweenEntry&ExitSignal(Meter),MovementAuthorityFromFootofEntrySignal(inSections),Authorized Speed (kmph) In OS,Track Profile Id,TLI Profile ID,EntrySignal,ExitSignal,Profile Id,Line,Turnout Speed,-,-,Permanent Speed Restriction,-,-,-,-,-,-,-,Gradient,-,-,LC Gate,-,-,-,-,-,-,Track Condition,-,-
-,-,-,-,-,-,-,-,-,-,Normal,Reverse,-,-,-,EntrySignalFootTag,(LinkingDistance#En-RouteTag),-,-,-,-,-,-,-,-.1,Speed Value (kmph),Start Distance (m),Length (m),U Speed,A Speed,B Speed,C Speed,Start Distance (m).1,Speed Length (m),Ref Tag ID,Span,Gradient Type (Downhill/ Uphill),Gradient Value,Length (m).1,LC ID Numeric/LC ID Alpha suffix,LC Alpha ID,LC Manning Type,"LC Class (Special, A, B, B1, C etc)",LC Distance (m),LC Auto Whistling Enabled,LC Auto Whistling Type,Track Condition Type(Radio Hole/ Non stopping/Neutral section/Reversing area/Fouling Mark),Start Distance (m).2,Length (m).2
,-,-,-,-,-,-,Red/Blank,-,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18.0,S6,S13,Station,Down Main,-,LoopLine Starter,Yellow,Green,62,57,-,N-165#N-169#N-170,-,R-174,(0#R-174)#(64#R-262)#(151#R-163)#(294#R-165)#(120#R-167),629,4,30,18,18,S6,S13,18,Down Loop,30,0,112,30,-,-,-,0,112,174,629,Fall,1 in 486,629,,,,,,,,,,
,-,-,-,-,-,-,Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Red/Blank,-,-,-,-,-,-,-,-,-,1,15,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19.0,S6A,S13,Station,Down Main,-,Calling-on Signal,Miniature(Red/Blank),Red/Blank,62,57,DLT(Occupied),-,-,R-174,(0#R-174)#(64#R-262)#(151#R-163)#(294#R-165)#(120#R-167),629,1,15,19,19,S6A,S13,19,Down Loop,30,0,112,30,-,-,-,0,112,174,629,Fall,1 in 486,629,,,,,,,,,,
20.0,S7,S13,Station,Down Main,-,LoopLine Starter,Yellow,Green,56#57#58(63W 61N),59#62,-,N-179#N-175#N-170,-,R-188,(0#R-188)#(125#R-189)#(81#R-260)#(167#R-261)#(65#R-165)#(120#R-167),558,4,15,20,20,S7,S13,20,Common Loop 1,15,0,425,15,-,-,-,0,425,188,558,Fall,1 in 465,558,,,,,,,,,,
,-,-,-,-,-,-,Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Red/Blank,-,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21.0,S7A,S13,Station,Down Main,-,Calling-on Signal,Miniature(Red/Blank),Red/Blank,56#57#58(63W 61N),59#62,CL1T(Occupied),-,-,R-188,(0#R-188)#(125#R-189)#(81#R-260)#(167#R-261)#(65#R-165)#(120#R-167),558,1,15,21,21,S7A,S13,21,Common Loop 1,15,0,425,15,-,-,-,0,425,188,558,Fall,1 in 465,558,,,,,,,,,,
22.0,S8,S13,Station,Down Main,-,LoopLine Starter,Yellow,Green,56#57(63W 61N),58#59#62,-,N-179#N-175#N-170,-,R-196,(0#R-196)#(113#R-259)#(93#R-260)#(167#R-261)#(65#R-165)#(120#R-167),558,4,15,22,22,S8,S13,22,Down Main,15,0,425,15,-,-,-,0,425,196,558,Fall,1 in 465,558,,,,,,,,,,
,-,-,-,-,-,-,Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Red/Blank,-,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.0,S8A,S13,Station,Down Main,-,Calling-on Signal,Miniature(Red/Blank),Red/Blank,56#57(63W 61N),58#59#62,CL2T(Occupied),-,-,R-196,(0#R-196)#(113#R-259)#(93#R-260)#(167#R-261)#(65#R-165)#(120#R-167),558,1,15,23,23,S8A,S13,23,Down Main,15,0,425,15,-,-,-,0,425,196,558,Fall,1 in 465,558,,,,,,,,,,
24.0,S9,S13,Station,Down Main,-,LoopLine Starter,Yellow,Green,54#55#57#60(63W 61N),56#58#59#62,-,N-183#N-179#N-175#N-170,-,R-204,(0#R-204)#(94#R-258)#(68#R-259)#(93#R-260)#(167#R-261)#(65#R-165)#(120#R-167),607,4,15,24,24,S9,S13,24,R&D Line,15,0,474,15,-,-,-,0,474,204,607,Fall,1 in 480,607,,,,,,,,,,
,-,-,-,-,-,-,Yellow,Double Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
